Country (or territory),Subregion,Region,IMF[1],IMF[1],World Bank[5],World Bank[5],CIA[6],CIA[6]
Country (or territory),Subregion,Region,Estimate,Year,Estimate,Year,Estimate,Year
DR Congo *,Middle Africa,Africa,106138.0,2021.0,101302.0,2020.0,95291,2019
Lebanon *,Western Asia,Asia,78931.0,2021.0,83876.0,2020.0,99761,2019
Paraguay *,South America,Americas,98929.0,2021.0,92815.0,2020.0,89362,2019
Turkmenistan *,Central Asia,Asia,104539.0,2021.0,96235.0,2019.0,86858,2018
Syria *,Western Asia,Asia,136344.0,2021.0,,,50280,2015
Slovenia *,Southern Europe,Europe,85889.0,2021.0,83151.0,2020.0,81614,2019
Afghanistan *,Southern Asia,Asia,83370.0,2021.0,81268.0,2020.0,78557,2019
Uruguay *,South America,Americas,83170.0,2021.0,79184.0,2020.0,74638,2019
Bahrain *,Western Asia,Asia,77624.0,2021.0,73476.0,2020.0,73870,2019
Luxembourg *,Western Europe,Europe,78309.0,2021.0,74836.0,2020.0,70966,2019
Cambodia *,South-eastern Asia,Asia,78065.0,2021.0,73932.0,2020.0,72356,2019
Macau *,Eastern Asia,Asia,61623.0,2021.0,37537.0,2020.0,79392,2019
Yemen *,Western Asia,Asia,64042.0,2021.0,92756.0,2013.0,73630,2017
Zambia *,Eastern Africa,Africa,64638.0,2021.0,63417.0,2020.0,61985,2019
Latvia *,Northern Europe,Europe,63539.0,2021.0,60886.0,2020.0,59102,2019
Laos *,South-eastern Asia,Asia,62797.0,2021.0,59910.0,2020.0,56110,2019
Senegal *,Western Africa,Africa,62412.0,2021.0,58291.0,2020.0,55324,2019
El Salvador *,Central America,Americas,57952.0,2021.0,55126.0,2020.0,56636,2019
Georgia *,Western Asia,Asia,58226.0,2021.0,55201.0,2020.0,55776,2019
Honduras *,Central America,Americas,57649.0,2021.0,53689.0,2020.0,55825,2019
Bosnia and Herzegovina *,Southern Europe,Europe,51996.0,2021.0,51219.0,2020.0,49224,2019
Estonia *,Northern Europe,Europe,52813.0,2021.0,51106.0,2020.0,48987,2019
Mali *,Western Africa,Africa,49987.0,2021.0,47357.0,2020.0,45637,2019
Burkina Faso *,Western Africa,Africa,50225.0,2021.0,47642.0,2020.0,44266,2019
Madagascar *,Eastern Africa,Africa,46350.0,2021.0,44114.0,2020.0,44419,2019
Botswana *,Southern Africa,Africa,43389.0,2021.0,39791.0,2020.0,40928,2019
Zimbabwe *,Eastern Africa,Africa,41794.0,2021.0,43034.0,2020.0,41533,2019
Albania *,Southern Europe,Europe,43553.0,2021.0,39211.0,2020.0,39859,2019
Benin *,Western Africa,Africa,44616.0,2021.0,42500.0,2020.0,38794,2019
Azerbaijan *,Western Asia,Asia,151866.0,2021.0,146111.0,2020.0,144374,2019
Mongolia *,Eastern Asia,Asia,42412.0,2021.0,39669.0,2020.0,39723,2019
Armenia *,Western Asia,Asia,40500.0,2021.0,39364.0,2020.0,40384,2019
Malta *,Southern Europe,Europe,23501.0,2021.0,22398.0,2020.0,22133,2019
Papua New Guinea *,Melanesia,Oceania,35464.0,2021.0,38709.0,2020.0,38218,2019
Trinidad and Tobago *,Caribbean,Americas,36413.0,2021.0,35031.0,2020.0,36514,2019
Cyprus *,Western Asia,Asia,37271.0,2021.0,34385.0,2020.0,35353,2019
Nicaragua *,Central America,Americas,36964.0,2021.0,36899.0,2020.0,35392,2019
North Macedonia *,Southern Europe,Europe,36673.0,2021.0,35265.0,2020.0,34333,2019
Moldova *,Eastern Europe,Europe,35906.0,2021.0,34036.0,2020.0,34680,2019
Guinea *,Western Africa,Africa,39093.0,2021.0,37002.0,2020.0,32720,2019
Kyrgyzstan *,Central Asia,Asia,35419.0,2021.0,32728.0,2020.0,33918,2019
Tajikistan *,Central Asia,Asia,37235.0,2021.0,36800.0,2020.0,31502,2019
Haiti *,Caribbean,Americas,34189.0,2021.0,33357.0,2020.0,32724,2019
Gabon *,Middle Africa,Africa,34676.0,2021.0,33810.0,2020.0,32480,2019
Niger *,Western Africa,Africa,33162.0,2021.0,30563.0,2020.0,28544,2019
Palestine *,Western Asia,Asia,29582.0,2021.0,27332.0,2020.0,21220,2014[obsolete source]
Rwanda *,Eastern Africa,Africa,31848.0,2021.0,28676.0,2020.0,28118,2019
Mauritius *,Eastern Africa,Africa,27909.0,2021.0,25997.0,2020.0,28947,2019
Jamaica *,Caribbean,Americas,28209.0,2021.0,27307.0,2020.0,28779,2019
Brunei *,South-eastern Asia,Asia,29731.0,2021.0,28726.0,2020.0,26906,2019
Chad *,Middle Africa,Africa,27421.0,2021.0,26337.0,2020.0,25190,2019
Equatorial Guinea *,Middle Africa,Africa,26485.0,2021.0,25172.0,2020.0,25164,2019
Namibia *,Southern Africa,Africa,24843.0,2021.0,23839.0,2020.0,24040,2019
Mauritania *,Western Africa,Africa,25409.0,2021.0,24443.0,2020.0,23520,2019
Fiji *,Melanesia,Oceania,11126.0,2021.0,10400.0,2020.0,12178,2019
Iceland *,Northern Europe,Europe,21520.0,2021.0,20233.0,2020.0,20187,2019
Kosovo *,Eastern Europe,Europe,21680.0,2021.0,20182.0,2020.0,20396,2019
Malawi *,Eastern Africa,Africa,21576.0,2021.0,30004.0,2020.0,19741,2019
Congo *,Middle Africa,Africa,20005.0,2021.0,20078.0,2020.0,19763,2019
Somalia *,Eastern Africa,Africa,14574.0,2021.0,13909.0,2020.0,20440,2017
South Sudan *,Eastern Africa,Africa,11693.0,2021.0,13231.0,2015.0,20010,2017
Togo *,Western Africa,Africa,19199.0,2021.0,18409.0,2020.0,12904,2019
Bahamas *,Caribbean,Americas,13254.0,2021.0,12762.0,2020.0,14450,2019
Sierra Leone *,Western Africa,Africa,14449.0,2021.0,13868.0,2020.0,13425,2019
Montenegro *,Southern Europe,Europe,13313.0,2021.0,12787.0,2020.0,13357,2019
Guyana *,South America,Americas,18357.0,2021.0,15500.0,2020.0,10240,2019
North Korea *,Eastern Asia,Asia,12100.0,2021.0,,,40000,2015
New Caledonia *,Melanesia,Oceania,,,,,11110,2017
Eswatini *,Southern Africa,Africa,10424.0,2021.0,10272.0,2020.0,9898,2019
Maldives *,Southern Asia,Asia,8972.0,2021.0,7441.0,2020.0,10370,2019
Suriname *,South America,Americas,8992.0,2021.0,9982.0,2020.0,9606,2019
Bhutan *,Southern Asia,Asia,8977.0,2021.0,8880.0,2020.0,9029,2019
Burundi *,Eastern Africa,Africa,9446.0,2021.0,9170.0,2020.0,8667,2019
Eritrea *,Eastern Africa,Africa,6706.0,2021.0,5224.0,2011.0,9702,2017
Monaco *,Western Europe,Europe,,,,,7672,2015
Liberia *,Western Africa,Africa,7706.0,2021.0,7223.0,2020.0,7049,2019
Isle of Man *,Northern Europe,Europe,,,,,6792,2015
Lesotho *,Southern Africa,Africa,5904.0,2021.0,5152.0,2020.0,5747,2019
Guam *,Micronesia,Oceania,,,,,5793,2016
Djibouti *,Eastern Africa,Africa,6040.0,2021.0,5713.0,2020.0,5388,2019
Gambia *,Western Africa,Africa,5942.0,2021.0,5505.0,2020.0,5218,2019
Jersey *,Northern Europe,Europe,,,,,5569,2016
French Polynesia *,Polynesia,Oceania,,,,,5490,2017
Bermuda *,Northern America,Americas,,,5449.0,2019.0,5228,2019
Liechtenstein *,Western Europe,Europe,,,,,4978,2014 [obsolete source]
Central African Republic *,Middle Africa,Africa,4985.0,2021.0,4731.0,2020.0,4483,2019
Cayman Islands *,Caribbean,Americas,,,4985.0,2019.0,4591,2018
East Timor *,South-eastern Asia,Asia,4192.0,2021.0,4424.0,2020.0,4593,2019
Barbados *,Caribbean,Americas,4136.0,2021.0,3902.0,2020.0,4488,2019
Guinea-Bissau *,Western Africa,Africa,4469.0,2021.0,3835.0,2020.0,3821,2019
Cape Verde *,Western Africa,Africa,3852.0,2021.0,3546.0,2020.0,3944,2019
Curaçao *,Caribbean,Americas,,,4020.0,2019.0,3856,2019
Aruba *,Caribbean,Americas,3499.0,2021.0,4098.0,2017.0,4158,2017
